entity_name,entity_type,region,risk_type,risk_level,sentiment,sentiment_score,violation_reason,impact_scope,summary,llm_confidence,record_id,source_type,url
unknown_entity,other,unknown,insurance_compliance_risk,low,neutral,0.0,medical risk event derived from regulation or health news,"institution, users/patients, sector supervision",中央第八巡视组巡视国家医疗保障局党组工作动员会召开,0.55,REG_000001,regulation,https://www.nhsa.gov.cn/art/2026/4/14/art_14_20212.html
unknown_entity,other,unknown,insurance_compliance_risk,low,neutral,0.0,medical risk event derived from regulation or health news,"institution, users/patients, sector supervision",6月15日起，又一地宝妈喜提新福利！,0.55,REG_000002,regulation,https://www.nhsa.gov.cn/art/2026/6/16/art_14_21014.html
unknown_entity,other,浙江,insurance_compliance_risk,low,neutral,0.0,medical risk event derived from regulation or health news,"institution, users/patients, sector supervision",浙江医保和您一起比药价,0.55,REG_000003,regulation,https://www.nhsa.gov.cn/art/2026/6/16/art_14_21010.html
unknown_entity,other,上海,insurance_compliance_risk,low,neutral,0.0,medical risk event derived from regulation or health news,"institution, users/patients, sector supervision",上海医保和您一起比药价,0.55,REG_000004,regulation,https://www.nhsa.gov.cn/art/2026/6/15/art_14_21002.html
unknown_entity,other,山西,insurance_compliance_risk,low,neutral,0.0,medical risk event derived from regulation or health news,"institution, users/patients, sector supervision",中共山西省委办公厅 山西省人民政府办公厅关于印发《山西省加快建立长期...,0.55,REG_000005,regulation,https://www.nhsa.gov.cn/art/2026/6/15/art_14_21000.html
unknown_entity,other,unknown,insurance_compliance_risk,medium,negative,-0.65,medical risk event derived from regulation or health news,"institution, users/patients, sector supervision",专项行动典型案例第五期：定点零售药店违法违规使用医保基金问题,0.55,REG_000006,regulation,https://www.nhsa.gov.cn/art/2026/6/15/art_14_20994.html
unknown_entity,other,unknown,insurance_compliance_risk,low,neutral,0.0,medical risk event derived from regulation or health news,"institution, users/patients, sector supervision",有的药盒上印的MA码是什么？有什么用？,0.55,REG_000007,regulation,https://www.nhsa.gov.cn/art/2026/6/15/art_14_20991.html
unknown_entity,other,吉林,insurance_compliance_risk,low,neutral,0.0,medical risk event derived from regulation or health news,"institution, users/patients, sector supervision",吉林省人民政府办公厅关于印发《吉林省完善长期护理保险制度实施方案》的...,0.55,REG_000008,regulation,https://www.nhsa.gov.cn/art/2026/6/14/art_14_20986.html
unknown_entity,other,unknown,insurance_compliance_risk,low,neutral,0.0,medical risk event derived from regulation or health news,"institution, users/patients, sector supervision",我的诊室挤满了孩子，家长却不愿相信 TA 们病了,0.55,REG_000009,regulation,https://www.nhsa.gov.cn/art/2026/6/13/art_14_20984.html
数智赋能定点医药,other,unknown,insurance_compliance_risk,low,neutral,0.0,medical risk event derived from regulation or health news,"institution, users/patients, sector supervision",数智赋能定点医药机构 杭州创新打造医保服务“钉”模式,0.55,REG_000010,regulation,https://www.nhsa.gov.cn/art/2026/6/13/art_14_20982.html
unknown_entity,other,unknown,insurance_compliance_risk,low,neutral,0.0,medical risk event derived from regulation or health news,"institution, users/patients, sector supervision",长期照护师持证人数已超3万，2026年度第二次省际联考等您来报名（一...,0.55,REG_000011,regulation,https://www.nhsa.gov.cn/art/2026/6/12/art_14_20989.html
unknown_entity,other,新疆,insurance_compliance_risk,low,neutral,0.0,medical risk event derived from regulation or health news,"institution, users/patients, sector supervision",新疆生产建设兵团医保和您一起比药价,0.55,REG_000012,regulation,https://www.nhsa.gov.cn/art/2026/6/12/art_14_20980.html
unknown_entity,other,unknown,insurance_compliance_risk,low,neutral,0.0,medical risk event derived from regulation or health news,"institution, users/patients, sector supervision",医保支付方式改革有关情况介绍（第5期）,0.55,REG_000013,regulation,https://www.nhsa.gov.cn/art/2026/6/12/art_14_20969.html
unknown_entity,other,青海,insurance_compliance_risk,low,neutral,0.0,medical risk event derived from regulation or health news,"institution, users/patients, sector supervision",青海省人民政府办公厅关于印发《青海省建立长期护理保险制度实施方案》的...,0.55,REG_000014,regulation,https://www.nhsa.gov.cn/art/2026/6/12/art_14_20972.html
unknown_entity,other,unknown,insurance_compliance_risk,low,neutral,0.0,medical risk event derived from regulation or health news,"institution, users/patients, sector supervision",“四支付”全面开展 群众就医不再“来回跑”,0.55,REG_000015,regulation,https://www.nhsa.gov.cn/art/2026/6/12/art_14_20958.html
unknown_entity,other,unknown,insurance_compliance_risk,low,neutral,0.0,medical risk event derived from regulation or health news,"institution, users/patients, sector supervision",医保便民 “e站”进村,0.55,REG_000016,regulation,https://www.nhsa.gov.cn/art/2026/6/11/art_14_20932.html
unknown_entity,other,unknown,insurance_compliance_risk,low,neutral,0.0,medical risk event derived from regulation or health news,"institution, users/patients, sector supervision",集采八年，到底改变了什么？,0.55,REG_000017,regulation,https://www.nhsa.gov.cn/art/2026/6/11/art_14_20930.html
unknown_entity,other,unknown,insurance_compliance_risk,low,neutral,0.0,medical risk event derived from regulation or health news,"institution, users/patients, sector supervision",国家医保局上线“医保领域场景征集”功能,0.55,REG_000018,regulation,https://www.nhsa.gov.cn/art/2026/6/11/art_14_20918.html
unknown_entity,other,北京,insurance_compliance_risk,high,negative,-0.65,medical risk event derived from regulation or health news,"institution, users/patients, sector supervision",北京市医保局、北京市检察院、北京市公安局联合发布依法惩治医保骗保犯罪...,0.55,REG_000019,regulation,https://www.nhsa.gov.cn/art/2026/6/10/art_14_20927.html
unknown_entity,other,unknown,insurance_compliance_risk,low,neutral,0.0,medical risk event derived from regulation or health news,"institution, users/patients, sector supervision",医保支付方式改革有关情况介绍（第4期）,0.55,REG_000020,regulation,https://www.nhsa.gov.cn/art/2026/6/10/art_14_20908.html
unknown_entity,other,unknown,insurance_compliance_risk,low,neutral,0.0,medical risk event derived from regulation or health news,"institution, users/patients, sector supervision",跨省共济，让医保个账资金成为“家庭健康金”（政策解读·问答）,0.55,REG_000021,regulation,https://www.nhsa.gov.cn/art/2026/6/10/art_14_20913.html
unknown_entity,other,unknown,drug_safety_risk,low,neutral,0.0,medical risk event derived from regulation or health news,"institution, users/patients, sector supervision",关于2026年药品目录调整申报阶段的重要提醒,0.55,REG_000022,regulation,https://www.nhsa.gov.cn/art/2026/6/9/art_14_20910.html
unknown_entity,other,unknown,insurance_compliance_risk,low,neutral,0.0,medical risk event derived from regulation or health news,"institution, users/patients, sector supervision",医保战略采购改革国际研讨活动在京举办,0.55,REG_000023,regulation,https://www.nhsa.gov.cn/art/2026/6/9/art_14_20901.html
