record_id,event_date,entity_name,entity_type,region,risk_type,risk_level,risk_score,sentiment,sentiment_score,violation_reason,impact_scope,penalty_amount,heat_score,summary,source_type,source,title,url,llm_confidence,manual_check
REG_000001,2026-04-14,unknown_entity,other,unknown,insurance_compliance_risk,low,35.0,neutral,0.0,medical risk event derived from regulation or health news,"institution, users/patients, sector supervision",0,5.0,中央第八巡视组巡视国家医疗保障局党组工作动员会召开,regulation,国家医保局-医保动态,中央第八巡视组巡视国家医疗保障局党组工作动员会召开,https://www.nhsa.gov.cn/art/2026/4/14/art_14_20212.html,0.55,pending_review
REG_000002,2026-06-16,unknown_entity,other,unknown,insurance_compliance_risk,low,35.0,neutral,0.0,medical risk event derived from regulation or health news,"institution, users/patients, sector supervision",0,5.0,6月15日起，又一地宝妈喜提新福利！,regulation,国家医保局-医保动态,6月15日起，又一地宝妈喜提新福利！,https://www.nhsa.gov.cn/art/2026/6/16/art_14_21014.html,0.55,pending_review
REG_000003,2026-06-16,unknown_entity,other,浙江,insurance_compliance_risk,low,35.0,neutral,0.0,medical risk event derived from regulation or health news,"institution, users/patients, sector supervision",0,5.0,浙江医保和您一起比药价,regulation,国家医保局-医保动态,浙江医保和您一起比药价,https://www.nhsa.gov.cn/art/2026/6/16/art_14_21010.html,0.55,pending_review
REG_000004,2026-06-15,unknown_entity,other,上海,insurance_compliance_risk,low,35.0,neutral,0.0,medical risk event derived from regulation or health news,"institution, users/patients, sector supervision",0,5.0,上海医保和您一起比药价,regulation,国家医保局-医保动态,上海医保和您一起比药价,https://www.nhsa.gov.cn/art/2026/6/15/art_14_21002.html,0.55,pending_review
REG_000005,2026-06-15,unknown_entity,other,山西,insurance_compliance_risk,low,35.0,neutral,0.0,medical risk event derived from regulation or health news,"institution, users/patients, sector supervision",0,5.0,中共山西省委办公厅 山西省人民政府办公厅关于印发《山西省加快建立长期...,regulation,国家医保局-医保动态,中共山西省委办公厅 山西省人民政府办公厅关于印发《山西省加快建立长期...,https://www.nhsa.gov.cn/art/2026/6/15/art_14_21000.html,0.55,pending_review
REG_000006,2026-06-15,unknown_entity,other,unknown,insurance_compliance_risk,medium,54.8,negative,-0.65,medical risk event derived from regulation or health news,"institution, users/patients, sector supervision",0,5.0,专项行动典型案例第五期：定点零售药店违法违规使用医保基金问题,regulation,国家医保局-医保动态,专项行动典型案例第五期：定点零售药店违法违规使用医保基金问题,https://www.nhsa.gov.cn/art/2026/6/15/art_14_20994.html,0.55,pending_review
REG_000007,2026-06-15,unknown_entity,other,unknown,insurance_compliance_risk,low,35.0,neutral,0.0,medical risk event derived from regulation or health news,"institution, users/patients, sector supervision",0,5.0,有的药盒上印的MA码是什么？有什么用？,regulation,国家医保局-医保动态,有的药盒上印的MA码是什么？有什么用？,https://www.nhsa.gov.cn/art/2026/6/15/art_14_20991.html,0.55,pending_review
REG_000008,2026-06-14,unknown_entity,other,吉林,insurance_compliance_risk,low,35.0,neutral,0.0,medical risk event derived from regulation or health news,"institution, users/patients, sector supervision",0,5.0,吉林省人民政府办公厅关于印发《吉林省完善长期护理保险制度实施方案》的...,regulation,国家医保局-医保动态,吉林省人民政府办公厅关于印发《吉林省完善长期护理保险制度实施方案》的...,https://www.nhsa.gov.cn/art/2026/6/14/art_14_20986.html,0.55,pending_review
REG_000009,2026-06-13,unknown_entity,other,unknown,insurance_compliance_risk,low,35.0,neutral,0.0,medical risk event derived from regulation or health news,"institution, users/patients, sector supervision",0,5.0,我的诊室挤满了孩子，家长却不愿相信 TA 们病了,regulation,国家医保局-医保动态,我的诊室挤满了孩子，家长却不愿相信 TA 们病了,https://www.nhsa.gov.cn/art/2026/6/13/art_14_20984.html,0.55,pending_review
REG_000010,2026-06-13,数智赋能定点医药,other,unknown,insurance_compliance_risk,low,25.0,neutral,0.0,medical risk event derived from regulation or health news,"institution, users/patients, sector supervision",0,5.0,数智赋能定点医药机构 杭州创新打造医保服务“钉”模式,regulation,国家医保局-医保动态,数智赋能定点医药机构 杭州创新打造医保服务“钉”模式,https://www.nhsa.gov.cn/art/2026/6/13/art_14_20982.html,0.55,pending_review
